3mf,model/3mf
e57,model/e57
example,model/example
gltf-binary,model/gltf-binary
gltf+json,model/gltf+json
iges,model/iges
mesh,image/mesh
mtl,model/mtl
obj,model/obj
step+zip,model/step+zip
step-xml+zip,model/step-xml+zip
stl,model/stl
vnd.collada+xml,model/vnd.collada+xml
vnd.dwf,model/vnd.dwf
vnd.flatland.3dml,model/vnd.flatland.3dml
vnd.gdl,model/vnd.gdl
vnd.gs-gdl,model/vnd.gs-gdl
vnd.gtw,model/vnd.gtw
vnd.moml+xml,model/vnd.moml+xml
vnd.mts,model/vnd.mts
vnd.opengex,model/vnd.opengex
vnd.parasolid.transmit.binary,model/vnd.parasolid.transmit.binary
vnd.parasolid.transmit.text,model/vnd.parasolid.transmit.text
vnd.pytha.pyox,model/vnd.pytha.pyox
vnd.rosette.annotated-data-model,model/vnd.rosette.annotated-data-model
vnd.sap.vds,model/vnd.sap.vds
vnd.usdz+zip,model/vnd.usdz+zip
vnd.valve.source.compiled-map,model/vnd.valve.source.compiled-map
vnd.vtu,model/vnd.vtu
vrml,image/vrml
x3d-vrml,model/x3d-vrml
x3d+fastinfoset,model/x3d+fastinfoset
x3d+xml,model/x3d+xml
