Order,Level,Id,ParentId,Code,,Description,ParentCode,Remark,skip
1854830,1,10,,ISCED11,||,International Standard Classification of Education (ISCED 2011),,,*
1854831,2,20,10,TOTAL,||,All ISCED 2011 levels,ISCED11,,*
1854832,2,30,10,ED0-4,||,"Less than primary, primary, secondary and post-secondary non-tertiary education (levels 0-4)",ISCED11,,
1854833,2,40,10,ED0-2,||,"Less than primary, primary and lower secondary education (levels 0-2)",ISCED11,,
1854834,2,50,10,ED0,||,Early childhood education,ISCED11,,
1854835,3,60,50,ED01,||,Early childhood educational development,ED0,,
1854836,3,70,50,ED02-8,||,All ISCED 2011 levels excluding early childhood educational development,ED0,,
1854837,3,80,50,ED02,||,Pre-primary education,ED0,,
1854838,2,90,10,ED1-4,||,"Primary, lower secondary, upper secondary and post-secondary non-tertiary education (levels 1-4)",ISCED11,,
1854839,2,100,10,ED1-3,||,Primary and secondary education (levels 1-3),ISCED11,,
1854840,2,110,10,ED1_2,||,Primary and lower secondary education (levels 1 and 2),ISCED11,,
1854841,2,120,10,ED1,||,Primary education,ISCED11,,
1854842,2,130,10,ED2-4,||,"Lower secondary, upper secondary and post-secondary non-tertiary education (levels 2-4)",ISCED11,,
1854843,2,140,10,ED2_3,||,Secondary education (levels 2 and 3),ISCED11,,
1854844,2,150,10,ED2,||,Lower secondary education,ISCED11,,
1854845,3,160,150,ED24,||,Lower secondary education - general,ED2,,
1854846,3,170,150,ED25_35_45,||,"Lower secondary, upper secondary and post-secondary non-tertiary education - vocational (levels 25, 35 and 45)",ED2,,
1854847,3,180,150,ED25,||,Lower secondary education - vocational,ED2,,
1854848,2,190,10,ED3-8,||,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",ISCED11,,
1854849,2,200,10,ED3_4,||,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),ISCED11,,
1854850,2,210,10,ED3_4GEN,||,Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - general,ISCED11,,
1854851,2,220,10,ED3_4VOC,||,Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - vocational,ISCED11,,
1854852,2,230,10,ED3_4UNK,||,Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - orientation unknown,ISCED11,,
1854853,2,240,10,ED3,||,Upper secondary education,ISCED11,,
1854854,3,250,240,ED3SW,||,Upper secondary education - school and work-based vocational programmes,ED3,,
1854855,3,260,240,ED34_44,||,Upper secondary and post-secondary non-tertiary education - general (levels 34 and 44),ED3,,
1854856,3,270,240,ED34,||,Upper secondary education - general,ED3,,
1854857,4,280,270,ED341,||,"Upper secondary education - general, insufficient for level completion or partial level completion, without direct access to tertiary education",ED34,,
1854858,4,290,270,ED342_352,||,"Upper secondary education - all programmes, sufficient for partial level completion, without direct access to tertiary education (levels 342 and 352)",ED34,,
1854859,4,300,270,ED342,||,"Upper secondary education - general, sufficient for partial level completion, without direct access to tertiary education",ED34,,
1854860,4,310,270,ED343_353,||,"Upper secondary education - all programmes, sufficient for level completion, without direct access to tertiary education (levels 343 and 353)",ED34,,
1854861,4,320,270,ED343,||,"Upper secondary education - general, sufficient for level completion, without direct access to tertiary education",ED34,,
1854862,4,330,270,ED344_354,||,"Upper secondary education - all programmes, sufficient for level completion, with direct access to tertiary education (levels 344 and 354)",ED34,,
1854863,4,340,270,ED344,||,"Upper secondary education - general, sufficient for level completion, with direct access to tertiary education",ED34,,
1854864,3,350,240,ED35_45,||,Upper secondary and post-secondary non-tertiary education - vocational (levels 35 and 45),ED3,,
1854865,3,360,240,ED35,||,Upper secondary education - vocational,ED3,,
1854866,4,370,360,ED351,||,"Upper secondary education - vocational, insufficient for level completion or partial level completion, without direct access to tertiary education",ED35,,
1854867,4,380,360,ED352,||,"Upper secondary education - vocational, sufficient for partial level completion, without direct access to tertiary education",ED35,,
1854868,4,390,360,ED353,||,"Upper secondary education - vocational, sufficient for level completion, without direct access to tertiary education",ED35,,
1854869,4,400,360,ED354,||,"Upper secondary education - vocational, sufficient for level completion, with direct access to tertiary education",ED35,,
1854870,2,410,10,ED4,||,Post-secondary non-tertiary education,ISCED11,,
1854871,3,420,410,ED4SW,||,Post-secondary non-tertiary education - school and work-based vocational programmes,ED4,,
1854872,3,430,410,ED44,||,Post-secondary non-tertiary education - general,ED4,,
1854873,4,440,430,ED441,||,"Post-secondary non-tertiary education - general, insufficient for level completion, without direct access to tertiary education",ED44,,
1854874,4,450,430,ED443_453,||,"Post-secondary non-tertiary education - all programmes, sufficient for level completion, without direct access to tertiary education (levels 443 and 453)",ED44,,
1854875,4,460,430,ED443,||,"Post-secondary non-tertiary education - general, sufficient for level completion, without direct access to tertiary education",ED44,,
1854876,4,470,430,ED444_454,||,"Post-secondary non-tertiary education - all programmes, sufficient for level completion, with direct access to tertiary education (levels 444 and 454)",ED44,,
1854877,4,480,430,ED444,||,"Post-secondary non-tertiary education - general, sufficient for level completion, with direct access to tertiary education",ED44,,
1854878,3,490,410,ED45,||,Post-secondary non-tertiary education - vocational,ED4,,
1854879,4,500,490,ED451,||,"Post-secondary non-tertiary education - vocational, insufficient for level completion, without direct access to tertiary education",ED45,,
1854880,4,510,490,ED453,||,"Post-secondary non-tertiary education - vocational, sufficient for level completion, without direct access to tertiary education",ED45,,
1854881,4,520,490,ED454,||,"Post-secondary non-tertiary education - vocational, sufficient for level completion, with direct access to tertiary education",ED45,,
1854882,2,530,10,ED5-8,||,Tertiary education (levels 5-8),ISCED11,,
1854883,2,540,10,ED5-7,||,Tertiary education excluding doctoral or equivalent level (levels 5-7),ISCED11,,
1854884,2,550,10,ED5_6,||,Short-cycle tertiary education and Bachelor's or equivalent level (levels 5 and 6),ISCED11,,
1854885,2,560,10,ED5,||,Short-cycle tertiary education,ISCED11,,
1854886,3,570,560,ED5SW,||,Short-cycle tertiary education - school and work-based vocational programmes,ED5,,
