CPIM,message/CPIM
delivery-status,message/delivery-status
disposition-notification,message/disposition-notification
example,message/example
external-body,image/external-body
feedback-report,message/feedback-report
global,message/global
global-delivery-status,message/global-delivery-status
global-disposition-notification,message/global-disposition-notification
global-headers,message/global-headers
http,message/http
imdn+xml,message/imdn+xml
news - OBSOLETED by RFC5537,message/news
partial,image/partial
rfc822,image/rfc822
s-http,message/s-http
sip,message/sip
sipfrag,message/sipfrag
tracking-status,message/tracking-status
vnd.si.simp - OBSOLETED by request,message/vnd.si.simp
vnd.wfa.wsc,message/vnd.wfa.wsc
